,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
0,China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63
1,China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71
2,India,2017,Man-in-the-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20
3,UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7
4,Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68
5,Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25
6,Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34
7,France,2018,SQL Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66
8,India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47
9,UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58
10,China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29
11,China,2016,SQL Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27
12,India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37
13,France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35
14,France,2024,DDoS,IT,48.01,922258,Unknown,Social Engineering,Encryption,64
15,Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36
16,Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67
17,India,2015,DDoS,IT,93.14,805278,Insider,Social Engineering,Encryption,56
18,UK,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28
19,India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6
20,Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43
21,France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11
22,India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30
23,Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32
24,Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30
25,China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52
26,Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53
27,Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24
28,France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9
29,Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61
30,UK,2022,SQL Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11
31,France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34
32,India,2015,SQL Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61
33,Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21
34,Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27
35,Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31
36,China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70
37,Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12
38,USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62
39,Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71
40,Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3
41,India,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57
42,UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69
43,USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64
